"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","验证演示环境各链接是否活跃","西北大学","0","0","1","0","0"
"","验证演示环境各链接是否活跃","北理工","0","0","1","0","0"
"","验证演示环境各链接是否活跃","四川机电职业技术学院","0","0","1","0","0"
"","验证演示环境各链接是否活跃","中国公安大学","0","0","1","0","0"
"","验证演示环境各链接是否活跃","认领平台demo","0","0","1","0","0"
"","验证演示环境各链接是否活跃","科研助手demo","0","0","1","0","0"
"","验证演示环境各链接是否活跃","学术图谱demo","0","0","1","0","0"
"","验证演示环境各链接是否活跃","北京邮电大学","0","0","1","0","0"
"","验证演示环境各链接是否活跃","学术典藏demo","0","0","1","0","0"
"","验证演示环境各链接是否活跃","广州中医药","0","0","1","0","0"
"","验证演示环境各链接是否活跃","学科管理系统demo","0","0","1","0","0"
"","验证演示环境各链接是否活跃","南开大学","0","0","1","0","0"
